DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
1939-0017-AUS,Yes,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,Victoria (New South Wales),,,No,No,No,,5000,Km2,,,,1939,1,13,1939,1,13,71,,,3900,3900,,,,,,,4.430457951,,,2003-07-01,2025-09-04
1944-0028-AUS,Yes,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,Western District Victoria,,,No,No,No,,5000,Km2,,,,1944,,,1944,,,49,,,2100,2100,,,,,,,5.609788484,,,2003-07-01,2023-09-25
1955-0037-AUS,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,New South Wales,,,No,No,No,,,Km2,,,Hunter river,1955,2,23,1955,3,1,25,,15000,,15000,,,,,,,8.535527738,,,2003-07-01,2025-09-10
1967-0018-AUS,Yes,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,Hobart (Tasmania),,,Yes,No,No,,,Km2,,,,1967,2,7,1967,2,7,62,100,3000,,3100,,,,,68500,644147,10.63421099,,,2003-07-01,2023-09-25
1967-9012-AUS,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,AUS,Australia,Australia and New Zealand,Oceania,South-East,,,No,No,No,,,Km2,,,,1967,,,1969,,,600,,,,,,,,,600000,5642168,10.63421099,,,2006-09-14,2025-03-06
1968-0080-AUS,Yes,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,New South Wales,,,Yes,No,No,,,Km2,,,,1968,11,,1968,11,,12,,1000,800,1800,,,,,1000,9018,11.08848066,,,2003-07-01,2023-09-25
1970-0109-AUS,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ada,AUS,Australia,Australia and New Zealand,Oceania,Queensland,,,No,No,No,,,Kph,,,,1970,1,,1970,1,,13,,,,,,,,,72475,585566,12.37691039,,,2003-07-01,2023-09-25
1971-0015-AUS,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,AUS,Australia,Australia and New Zealand,Oceania,"South Wales, Queensland, Victoria",,,No,No,No,,,Km2,,,,1971,2,9,1971,2,9,27,,,,,,,,,20000,154940,12.90822653,,,2003-07-01,2023-09-25
1971-0096-AUS,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Althea,AUS,Australia,Australia and New Zealand,Oceania,Townsville area (Queensland),,,No,No,No,,,Kph,,,,1971,12,24,1971,12,24,3,,,,,,,,,119219,923589,12.90822653,,,2003-07-01,2023-09-25
1973-0051-AUS,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,"Queensland, New South Wales",,,Yes,No,No,,,Km2,,,,1973,12,,1974,1,,12,,11000,1000,12000,,,,,71000,501620,14.15414734,,,2003-07-01,2023-09-25
1974-0061-AUS,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tracy,AUS,Australia,Australia and New Zealand,Oceania,Darwin,,,Yes,No,No,,,Kph,,,,1974,12,25,1974,12,25,65,640,45000,,45640,,,,,800000,5089427,15.71886237,,,2003-07-01,2023-09-25
1974-0091-AUS,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,AUS,Australia,Australia and New Zealand,Oceania,Brisbane (Queensland),,,No,No,No,,,Kph,,,,1974,1,,1974,1,,11,,,,,,,,,296717,1887649,15.71886237,,,2003-07-01,2023-09-25
1974-0096-AUS,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Brisbane,,,No,No,No,,,Km2,,,,1974,1,,1974,1,,14,,,,,,,,,5972,37993,15.71886237,,,2003-07-01,2023-09-25
1974-9100-AUS,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,AUS,Australia,Australia and New Zealand,Oceania,Central New South Wales,,,No,No,No,,45000,Km2,,,,1974,12,,1975,1,,,,,,,,,,,,,15.71886237,,,2006-02-13,2025-03-06
1976-0067-AUS,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Queanreyan,,,No,No,No,,,Km2,,,,1976,10,,1976,10,,,,10000,,10000,,,,,,,18.14164401,,,2003-07-01,2023-09-25
1976-0131-AUS,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,AUS,Australia,Australia and New Zealand,Oceania,Sydney,,,No,No,No,,,Kph,,,,1976,11,10,1976,11,10,,,,,,,,,,38024,209595,18.14164401,,,2003-07-01,2023-09-25
1976-9126-AUS,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,AUS,Australia,Australia and New Zealand,Oceania,"Victoria, South Australia, Southern Inland New South Wales",,,No,No,No,,,Km2,,,,1976,,,1976,,,,,,,,,,,,,,18.14164401,,,2006-02-13,2025-03-06
1976-9127-AUS,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,AUS,Australia,Australia and New Zealand,Oceania,Southwest of Western Australia,,,No,No,No,,,Km2,,,,1976,5,,1976,8,,,,,,,,,,,,,18.14164401,,,2006-02-13,2025-03-06
1977-0227-AUS,Yes,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,"Blue Mountains, New South Wales",,,No,No,No,,,Km2,,,,1977,12,,1977,12,,3,,,,,,,,,2168,11221,19.32115691,,,2003-07-01,2023-09-25
1978-0049-AUS,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Alby,AUS,Australia,Australia and New Zealand,Oceania,Western,,,No,No,No,,,Kph,,,,1978,4,,1978,4,,5,,100,,100,,,,,1000000,4808721,20.79554994,,,2005-04-05,2023-09-25
1978-0198-AUS,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,"Sydney, Penrith (New South Wale)",,,No,No,No,,,Km2,,,,1978,3,,1978,3,,6,,,,,,,,,17258,82989,20.79554994,,,2003-07-01,2023-09-25
1978-0199-AUS,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,Eastern parts of Victoria,,,No,No,No,,,Km2,,,,1978,5,,1978,5,,1,,,,,,,,,3452,16600,20.79554994,,,2003-07-01,2023-09-25
1978-9200-AUS,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,AUS,Australia,Australia and New Zealand,Oceania,"Southern Queensland, New South Wales, Victoria, Northeast Tasmania",,,No,No,No,,,Km2,,,,1978,,,1978,,,,,,,,,,,,,,20.79554994,,,2006-02-13,2025-03-12
