CAT Name,Event Name,Event Start,Event Finish,Financial Year,State,Town,Description,Type,Year,Postcode,ORIGINAL LOSS VALUE,NORMALISED LOSS VALUE (2022),TOTAL CLAIMS RECEIVED,Domestic Building Claims,Domestic Content Claims,Domestic Motor Claims,Domestic Other Claims,Commercial Property Claims,Commercial motor,Commercial BI Claims,Commercial Other Claims,Commercial Crop Claims
CAT261,Victorian Bushfires,7-Jan-26,8-Feb-26,FY25,VIC,Victoria,The Insurance Council of Australia (ICA) has today escalated its significant event declaration to an Insurance Catastrophe for the bushfires that have been impacting 18 LGAs across Victoria since 7 January.,Bushfire,2026,"3691, 3695, 3697, 3698, 3699, 3701, 3735, 3737, 3738, 3739, 3740, 3741, 3744, 3747, 3749, 3858, 3862, 3898, 3272, 3293, 3294, 3314, 3325, 3351, 3361, 3373, 3374, 3375, 3377, 3378, 3379, 3381, 3469, 3232, 3233, 3234, 3235, 3236, 3237, 3238, 3239, 3241, 3242, 3243, 3249, 3250, 3251, 3254, 3260, 3266, 3269, 3321, 3322, 3323, 3329, 3239, 3249, 3251, 3260, 3264, 3265, 3266, 3267, 3268, 3269, 3270, 3271, 3272, 3322, 3323, 3324, 3325, 3351, 3352, 3360, 3361, 2550, 2551, 2627, 2628, 2632, 2633, 3697, 3699, 3701, 3707, 3741, 3851, 3862, 3864, 3865, 3875, 3878, 3880, 3882, 3885, 3886, 3887, 3888, 3889, 3890, 3891, 3892, 3893, 3895, 3896, 3898, 3900, 3902, 3903, 3904, 3909, 3213, 3218, 3221, 3241, 3321, 3322, 3323, 3324, 3328, 3329, 3330, 3331, 3332, 3333, 3334, 3340, 3342, 3351, 3352, 3356, 3360, 3361, 3444, 3448, 3453, 3463, 3515, 3516, 3522, 3523, 3550, 3551, 3555, 3556, 3557, 3558, 3559, 3561, 3570, 3571, 3572, 3662, 3317, 3385, 3390, 3400, 3401, 3407, 3409, 3414, 3418, 3666, 3669, 3673, 3678, 3713, 3714, 3715, 3719, 3720, 3722, 3723, 3825, 3858, 2648, 2717, 2737, 2738, 2739, 3489, 3490, 3491, 3494, 3496, 3498, 3500, 3501, 3505, 3506, 3507, 3509, 3512, 3533, 3546, 3549, 5302, 5304, 5311, 5340, 5341, 3064, 3430, 3434, 3435, 3444, 3521, 3522, 3523, 3607, 3608, 3658, 3659, 3660, 3662, 3663, 3664, 3666, 3717, 3753, 3756, 3757, 3758, 3762, 3764, 2646, 2647, 2710, 2712, 2714, 2731, 3564, 3620, 3621, 3629, 3631, 3634, 3635, 3636, 3637, 3638, 3639, 3640, 3641, 3644, 3646, 3649, 3675, 3678, 3685, 3725, 3726, 3727, 3728, 3730, 3444, 3446, 3447, 3448, 3450, 3451, 3453, 3461, 3462, 3463, 3464, 3465, 3472, 3515, 3551, 3659, 3660, 3666, 3711, 3712, 3713, 3714, 3715, 3717, 3718, 3719, 3720, 3723, 3757, 3761, 3763, 3775, 3777, 3778, 3779, 3799, 3325, 3351, 3352, 3360, 3361, 3363, 3371, 3373, 3375, 3377, 3378, 3384, 3465, 3467, 3468, 3469, 3472, 3477, 3478, 3559, 3607, 3608, 3610, 3612, 3630, 3631, 3646, 3660, 3662, 3663, 3664, 3665, 3666, 3669, 3670, 3673, 3715, 3719, 3720, 3725, 2640, 2642, 2644, 3691, 3695, 3697, 3699, 3700, 3701, 3704, 3705, 3707, 3708, 3709, 3900, 3723, 3737, 3825, 3844, 3847, 3850, 3851, 3852, 3854, 3856, 3857, 3858, 3859, 3860, 3862, 3864, 3870, 3873, 3874, 3875, 3880","$422,894,896 ","$422,894,896 ","4,312","1,038",724,361,36,"1,666",315,83,86,3
SE256,Bondi Event,14-Dec-25,14-Dec-25,FY25,NSW,Bondi,Insurers support Treasurer Jim Chalmers’ decision to designate the Bondi attack a Declared Terrorism Incident (DTI) under the Terrorism Insurance Act 2003.,Man-made,2025,2026,"$610,561 ","$610,561 ",35, -   ,4,20,1,6,1,3, -   , -   
CAT255,QLD & NSW Severe Storms and Hail,20-Nov-25,27-Nov-25,FY25,"QLD, NSW",Queensland and New South Wales,"The Insurance Council of Australia (ICA) has today extended the dates and postcodes of the severe storm and hail activity that has impacted Queensland and New South Wales over the past week, now including all postcodes in both states from 20 November to 27 November 2025. ",Storm,2025,"2000, 2007, 2008, 2009, 2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050, 2060, 2061, 2062, 2063, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2092, 2093, 2094, 2095, 2096, 2097, 2099, 2100, 2101, 2102, 2103, 2104, 2105, 2106, 2107, 2108, 2110, 2111, 2112, 2113, 2114, 2115, 2116, 2117, 2118, 2119, 2120, 2121, 2122, 2125, 2126, 2127, 2128, 2130, 2131, 2132, 2133, 2134, 2135, 2136, 2137, 2138, 2140, 2141, 2142, 2143, 2144, 2145, 2146, 2147, 2148, 2150, 2151, 2152, 2153, 2154, 2155, 2156, 2157, 2158, 2159, 2160, 2161, 2162, 2163, 2164, 2165, 2166, 2167, 2168, 2170, 2171, 2172, 2173, 2174, 2175, 2176, 2177, 2178, 2179, 2190, 2191, 2192, 2193, 2194, 2195, 2196, 2197, 2198, 2199, 2200, 2203, 2204, 2205, 2206, 2207, 2208, 2209, 2210, 2211, 2212, 2213, 2214, 2216, 2217, 2218, 2219, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2250, 2251, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 2264, 2265, 2267, 2278, 2280, 2281, 2282, 2283, 2284, 2285, 2286, 2287, 2289, 2290, 2291, 2292, 2293, 2294, 2295, 2296, 2297, 2298, 2299, 2300, 2302, 2303, 2304, 2305, 2306, 2307, 2308, 2311, 2312, 2315, 2316, 2317, 2318, 2319, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2327, 2328, 2329, 2330, 2331, 2333, 2334, 2335, 2336, 2337, 2338, 2339, 2340, 2341, 2342, 2343, 2344, 2345, 2346, 2347, 2350, 2352, 2353, 2354, 2355, 2356, 2357, 2358, 2359, 2360, 2361, 2365, 2369, 2370, 2371, 2372, 2379, 2380, 2381, 2382, 2386, 2387, 2388, 2390, 2395, 2396, 2397, 2398, 2399, 2400, 2401, 2402, 2403, 2404, 2405, 2406, 2408, 2409, 2410, 2411, 2415, 2420, 2421, 2422, 2423, 2424, 2425, 2426, 2427, 2428, 2429, 2430, 2431, 2439, 2440, 2441, 2443, 2444, 2445, 2446, 2447, 2448, 2449, 2450, 2452, 2453, 2454, 2455, 2456, 2460, 2462, 2463, 2464, 2465, 2466, 2469, 2470, 2471, 2472, 2473, 2474, 2475, 2476, 2477, 2478, 2479, 2480, 2481, 2482, 2483, 2484, 2485, 2486, 2487, 2488, 2489, 2490, 2500, 2502, 2505, 2506, 2508, 2515, 2516, 2517, 2518, 2519, 2525, 2526, 2527, 2528, 2529, 2530, 2533, 2534, 2535, 2536, 2537, 2538, 2539, 2540, 2541, 2545, 2546, 2548, 2549, 2550, 2551, 2555, 2556, 2557, 2558, 2559, 2560, 2563, 2564, 2565, 2566, 2567, 2568, 2569, 2570, 2571, 2572, 2573, 2574, 2575, 2576, 2577, 2578, 2579, 2580, 2581, 2582, 2583, 2584, 2585, 2586, 2587, 2588, 2590, 2594, 2611, 2618, 2619, 2620, 2621, 2622, 2623, 2624, 2625, 2626, 2627, 2628, 2629, 2630, 2631, 2632, 2633, 2640, 2641, 2642, 2643, 2644, 2645, 2646, 2647, 2648, 2649, 2650, 2651, 2652, 2653, 2655, 2656, 2658, 2659, 2660, 2661, 2663, 2665, 2666, 2668, 2669, 2671, 2672, 2675, 2678, 2680, 2681, 2700, 2701, 2702, 2703, 2705, 2706, 2707, 2710, 2711, 2712, 2713, 2714, 2715, 2716, 2717, 2720, 2721, 2722, 2725, 2726, 2727, 2729, 2730, 2731, 2732, 2733, 2734, 2735, 2736, 2737, 2738, 2739, 2745, 2747, 2748, 2749, 2750, 2752, 2753, 2754, 2756, 2757, 2758, 2759, 2760, 2761, 2762, 2763, 2765, 2766, 2767, 2768, 2769, 2770, 2773, 2774, 2775, 2776, 2777, 2778, 2779, 2780, 2782, 2783, 2784, 2785, 2786, 2787, 2790, 2791, 2792, 2793, 2794, 2795, 2797, 2798, 2799, 2800, 2803, 2804, 2805, 2806, 2807, 2808, 2809, 2810, 2817, 2818, 2820, 2821, 2822, 2823, 2824, 2825, 2826, 2827, 2828, 2829, 2830, 2831, 2832, 2833, 2834, 2835, 2836, 2838, 2839, 2840, 2842, 2843, 2844, 2845, 2846, 2847, 2848, 2849, 2850, 2852, 2864, 2865, 2866, 2867, 2868, 2869, 2870, 2871, 2873, 2874, 2875, 2876, 2877, 2878, 2879, 2880, 2898, 4000, 4005, 4006, 4007, 4008, 4009, 4010, 4011, 4012, 4013, 4014, 4017, 4018, 4019, 4020, 4021, 4022, 4025, 4030, 4031, 4032, 4034, 4035, 4036, 4037, 4051, 4053, 4054, 4055, 4059, 4060, 4061, 4064, 4065, 4066, 4067, 4068, 4069, 4070, 4073, 4074, 4075, 4076, 4077, 4078, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123, 4124, 4125, 4127, 4128, 4129, 4130, 4131, 4132, 4133, 4151, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4163, 4164, 4165, 4169, 4170, 4171, 4172, 4173, 4174, 4178, 4179, 4183, 4184, 4205, 4207, 4208, 4209, 4210, 4211, 4212, 4213, 4214, 4215, 4216, 4217, 4218, 4220, 4221, 4223, 4224, 4225, 4226, 4227, 4228, 4270, 4272, 4275, 4280, 4285, 4287, 4300, 4301, 4303, 4304, 4305, 4306, 4307, 4309, 4310, 4311, 4312, 4313, 4314, 4340, 4341, 4342, 4343, 4344, 4346, 4347, 4350, 4352, 4353, 4354, 4355, 4356, 4357, 4358, 4359, 4360, 4361, 4362, 4363, 4364, 4365, 4370, 4371, 4372, 4373, 4374, 4375, 4376, 4378, 4380, 4381, 4382, 4384, 4385, 4387, 4388, 4390, 4400, 4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4410, 4411, 4412, 4413, 4415, 4416, 4417, 4418, 4419, 4420, 4421, 4422, 4423, 4424, 4425, 4426, 4427, 4428, 4454, 4455, 4461, 4462, 4465, 4467, 4468, 4470, 4472, 4474, 4477, 4478, 4479, 4480, 4481, 4482, 4486, 4487, 4488, 4489, 4490, 4491, 4492, 4493, 4494, 4496, 4497, 4498, 4500, 4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4512, 4514, 4515, 4516, 4517, 4518, 4519, 4520, 4521, 4550, 4551, 4552, 4553, 4554, 4555, 4556, 4557, 4558, 4559, 4560, 4561, 4562, 4563, 4564, 4565, 4566, 4567, 4568, 4569, 4570, 4571, 4572, 4573, 4574, 4575, 4580, 4581, 4600, 4601, 4605, 4606, 4608, 4610, 4611, 4612, 4613, 4614, 4615, 4620, 4621, 4625, 4626, 4627, 4630, 4650, 4655, 4659, 4660, 4662, 4670, 4671, 4673, 4674, 4676, 4677, 4678, 4680, 4694, 4695, 4697, 4699, 4700, 4701, 4702, 4703, 4704, 4705, 4706, 4707, 4709, 4710, 4711, 4712, 4713, 4714, 4715, 4716, 4717, 4718, 4719, 4720, 4721, 4722, 4723, 4724, 4725, 4726, 4727, 4728, 4730, 4731, 4732, 4733, 4735, 4736, 4737, 4738, 4739, 4740, 4741, 4742, 4743, 4744, 4745, 4746, 4750, 4751, 4753, 4754, 4756, 4757, 4798, 4799, 4800, 4802, 4804, 4805, 4806, 4807, 4808, 4809, 4810, 4811, 4812, 4814, 4815, 4816, 4817, 4818, 4819, 4820, 4821, 4822, 4823, 4824, 4825, 4828, 4829, 4830, 4849, 4850, 4852, 4854, 4855, 4856, 4858, 4859, 4860, 4861, 4865, 4868, 4869, 4870, 4871, 4872, 4873, 4874, 4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4890, 4891, 4892, 4895","$1,517,677,101 ","$1,517,677,101 ","89,679","37,987","12,335","33,351",527,"2,736","2,422",110,162,49
SE254,Severe Spring Storms,26-Oct-25,2-Nov-25,FY25,QLD,South-east Queensland,The Insurance Council of Australia (ICA) has expanded the timeframe and postcodes of its most recent Significant Event declaration to include the hail and strong winds that impacted south-east Queensland between Sunday 26 October and Sunday 2 November.,Hail,2025,"4000, 4005, 4006, 4008, 4009, 4019, 4020, 4021, 4022, 4032, 4034, 4035, 4036, 4037, 4053, 4055, 4064, 4066, 4067, 4068, 4069, 4070, 4073, 4074, 4075, 4076, 4077, 4078, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4110, 4111, 4120, 4121, 4122, 4151, 4152, 4153, 4154, 4169, 4170, 4171, 4172, 4173, 4174, 4178, 4179, 4270, 4280, 4285, 4287, 4300, 4301, 4303, 4304, 4305, 4306, 4311, 4312, 4313, 4314, 4340, 4341, 4342, 4343, 4344, 4347, 4350, 4352, 4354, 4355, 4357, 4358, 4359, 4360, 4361, 4362, 4365, 4370, 4374, 4377, 4380, 4381, 4382, 4383, 4384, 4385, 4387, 4401, 4402, 4403, 4404, 4405, 4410, 4413, 4500, 4504, 4505, 4506, 4508, 4510, 4514, 4515, 4519, 4520, 4521, 4550, 4551, 4552, 4553, 4554, 4560, 4562, 4563, 4565, 4566, 4567, 4570, 4573, 4575, 4605, 4610, 4614, 4615, 4650, 4655, 4660, 4670","$823,795,178 ","$823,795,178 ","40,332","15,597","3,283","18,242",232,"1,454","1,455",31,33,5
CAT253,Mid North Coast and Hunter floods,17-May-25,24-May-25,FY24,NSW,"Taree, Port Macquarie-Hastings, Kempsey, Nambucca Valley, Bellingen and Coffs Harbour,","The Insurance Council of Australia (ICA) has declared a Significant Event for the Mid North Coast and Hunter regions of New South Wales impacted by significant rainfall and flooding in recent days. The impact of this recent flooding has been felt most significantly in communities along the Mid Coast including Taree, Port Macquarie-Hastings, Kempsey, Nambucca Valley, Bellingen and Coffs Harbour, and into parts of the Hunter. This remains an unfolding weather event and insurers’ priority is community safety. We strongly encourage all those impacted to put their safety first and adhere to evacuations orders.",Flood,2025,"2312, 2324, 2415, 2422, 2423, 2424, 2425, 2426, 2427, 2428, 2429, 2430, 2443, 2250, 2251, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 2264, 2265, 2267, 2278, 2280, 2281, 2282, 2283, 2284, 2285, 2286, 2290, 2306, 2287, 2289, 2291, 2292, 2293, 2294, 2296, 2297, 2298, 2299, 2300, 2302, 2303, 2304, 2305, 2307, 2308, 2322, 2439, 2441, 2444, 2445, 2446, 2295, 2315, 2316, 2317, 2318, 2319, 2431, 2440, 2450, 2452, 2456, 2084, 2085, 2086, 2087, 2092, 2093, 2094, 2095, 2096, 2097, 2099, 2100, 2101, 2102, 2103, 2104, 2105, 2106, 2107, 2108, 2447, 2448, 2449, 2147, 2148, 2761, 2762, 2763, 2765, 2766, 2767, 2768, 2769, 2770, 2323, 2325, 2326, 2327, 2334, 2168, 2170, 2171, 2172, 2173, 2174, 2179, 2555, 2556, 2557, 2565, 2752, 2125, 2153, 2154, 2155, 2156, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2115, 2116, 2117, 2118, 2121, 2127, 2128, 2141, 2142, 2145, 2146, 2150, 2151, 2152, 2160, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2508, 2320, 2178, 2745, 2747, 2748, 2749, 2750, 2759, 2760, 2038, 2039, 2040, 2041, 2042, 2044, 2045, 2048, 2049, 2110, 2130, 2131, 2132, 2133, 2193, 2203, 2204, 2161, 2163, 2164, 2165, 2166, 2175, 2176, 2177, 2311, 2321, 2420, 2421, 2077, 2079, 2080, 2081, 2082, 2083, 2119, 2120, 2126, 2157, 2158, 2159, 2753, 2754, 2756, 2757, 2758, 2775, 2018, 2019, 2020, 2205, 2207, 2208, 2216, 2217, 2218, 2219, 2111, 2112, 2113, 2114, 2122, 2031, 2032, 2033, 2034, 2035, 2036, 2000, 2007, 2008, 2009, 2010, 2011, 2015, 2016, 2017, 2021, 2037, 2043, 2050, 2330, 2331, 2335, 2454, 2455, 2023, 2025, 2027, 2028, 2029, 2030, 2063, 2064, 2066, 2067, 2068, 2046, 2047, 2135, 2137, 2138, 2140, 2060, 2061, 2062, 2065, 2089, 2090, 2329, 2336, 2337, 2338, 2340, 2354, 2850, 2365, 2370, 2453, 2460, 2462, 2463, 2464, 2465, 2466, 2469, 2472, 2328, 2333, 2022, 2024, 2026, 2088","$273,865,768 ","$273,865,768 ","14,700","9,188","2,224","1,979",101,872,234,61,41, -   
CAT252,Ex-Tropical Cyclone Alfred,28-Feb-25,11-Mar-25,FY24,"NSW, QLD",Queensland and New South Wales,"Ex Tropical Cyclone Alfred to impact Double Island Point in Queensland to Grafton in New South Wales, including Brisbane, Gold Coast, Sunshine Coast, Byron Bay and Ballina but not including Grafton.",Flood,2025,"2477, 2478, 4000, 4005, 4006, 4007, 4008, 4009, 4010, 4011, 4012, 4013, 4014, 4017, 4018, 4025, 4030, 4031, 4032, 4034, 4036, 4051, 4053, 4054, 4059, 4060, 4061, 4064, 4065, 4066, 4067, 4068, 4069, 4070, 4073, 4074, 4075, 4076, 4077, 4078, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4115, 4116, 4117, 4120, 4121, 4122, 4123, 4151, 4152, 4153, 4154, 4155, 4156, 4169, 4170, 4171, 4172, 4173, 4174, 4178, 4179, 2479, 2481, 2482, 2365, 2370, 2450, 2453, 2460, 2462, 2463, 2464, 2465, 2466, 4581, 4620, 4621, 4650, 4655, 4659, 4660, 4662, 4208, 4209, 4210, 4211, 4212, 4213, 4214, 4215, 4216, 4217, 4218, 4220, 4221, 4223, 4224, 4225, 4226, 4227, 4228, 4570, 4580, 4600, 4601, 4605, 4615, 4300, 4301, 4303, 4304, 4305, 4306, 4340, 4346, 2469, 2474, 2475, 2476, 2480, 4341, 4342, 4343, 4344, 4347, 4352, 4359, 4114, 4118, 4119, 4124, 4125, 4127, 4128, 4129, 4130, 4131, 4132, 4133, 4205, 4207, 4280, 4019, 4020, 4021, 4022, 4035, 4037, 4055, 4500, 4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4512, 4514, 4516, 4520, 4521, 4563, 4565, 4566, 4567, 4568, 4569, 4571, 4157, 4158, 4159, 4160, 4161, 4163, 4164, 4165, 4183, 4184, 2470, 2471, 2472, 2473, 4270, 4272, 4275, 4285, 4287, 4307, 4309, 4310, 4311, 4312, 4313, 4314, 4515, 4517, 4518, 4519, 4550, 4551, 4552, 4553, 4554, 4555, 4556, 4557, 4558, 4559, 4560, 4561, 4562, 4564, 4572, 4573, 4574, 4575, 2483, 2484, 2485, 2486, 2487, 2488, 2489, 2490, 2350, 2440, 2441, 2447, 2448, 2449, 2452, 2454, 2455, 2456, 2898, 4350, 4353, 4355, 4356, 4358, 4360, 4361, 4362, 4363, 4370, 4371, 4372, 4373, 4400, 4401, 4403, 4670, 4673, 4674, 4677, 4678, 4680, 4741","$1,531,029,838 ","$1,531,029,838 ","132,896","70,938","45,765","4,572",653,"8,006",240,"1,677","1,045", -   
SE251,North Queensland Floods,29-Jan-25,12-Feb-25,FY24,QLD,Queensland,Regions of North Queensland impacted by significant storm and flooding over  few days.,Flood,2025,"4702, 4721, 4737, 4738, 4740, 4741, 4743, 4750, 4751, 4753, 4754, 4756, 4757, 4777, 4798, 4799, 4800, 4801, 4802, 4803, 4804, 4805, 4806, 4807, 4808, 4809, 4810, 4811, 4812, 4814, 4815, 4816, 4817, 4818, 4819, 4849, 4850, 4852, 4854, 4855, 4856, 4858, 4859, 4860, 4861, 4865, 4868, 4869, 4870, 4871, 4872, 4873, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4890, 4892","$312,956,226 ","$312,956,226 ","11,766","7,308","1,904","1,339",99,810,126,126,53,1
SE242,Severe Weather NSW & QLD,3-Apr-24,8-Apr-24,FY23,,Hawkesbury-Nepean and Illawarra,"The storm caused heavy rainfall, damaging winds and flash flooding, most severely impacting the Hawkesbury-Nepean and Illawarra regions of New South Wales. Insurers have received 11,527 claims to date, with most from damage to buildings and contents as a result of wind and heavy rain causing gutters to overflow and flash flooding to occur.",Flood,2024,"2000, 2009, 2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050, 2060, 2062, 2063, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2079, 2081, 2082, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2092, 2093, 2094, 2095, 2096, 2097, 2099, 2100, 2101, 2102, 2103, 2106, 2107, 2110, 2111, 2112, 2113, 2114, 2117, 2118, 2119, 2120, 2121, 2122, 2125, 2126, 2127, 2130, 2131, 2132, 2133, 2134, 2135, 2136, 2137, 2138, 2140, 2141, 2142, 2143, 2144, 2145, 2146, 2147, 2148, 2150, 2151, 2152, 2153, 2154, 2155, 2156, 2157, 2158, 2159, 2160, 2161, 2162, 2163, 2164, 2165, 2166, 2167, 2168, 2170, 2171, 2172, 2173, 2176, 2177, 2178, 2179, 2190, 2191, 2192, 2193, 2194, 2195, 2196, 2197, 2198, 2199, 2200, 2203, 2204, 2205, 2206, 2207, 2208, 2209, 2210, 2211, 2212, 2213, 2216, 2217, 2218, 2219, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2232, 2233, 2234, 2250, 2251, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 2264, 2265, 2280, 2281, 2282, 2283, 2285, 2286, 2287, 2289, 2290, 2291, 2295, 2299, 2300, 2304, 2305, 2315, 2316, 2317, 2318, 2319, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2330, 2335, 2340, 2350, 2360, 2428, 2430, 2431, 2440, 2443, 2444, 2445, 2446, 2448, 2450, 2460, 2478, 2479, 2480, 2481, 2489, 2500, 2502, 2505, 2506, 2508, 2515, 2516, 2517, 2518, 2519, 2525, 2526, 2527, 2528, 2529, 2530, 2533, 2534, 2535, 2536, 2539, 2540, 2541, 2557, 2558, 2560, 2564, 2565, 2566, 2567, 2570, 2571, 2572, 2573, 2574, 2575, 2576, 2577, 2580, 2582, 2611, 2620, 2745, 2747, 2749, 2750, 2752, 2753, 2754, 2756, 2758, 2759, 2760, 2761, 2762, 2763, 2765, 2766, 2767, 2768, 2769, 2770, 2773, 2774, 2776, 2777, 2778, 2779, 2780, 2782, 2783, 2785, 2790, 2795, 2800, 2830, 4034, 4069, 4124, 4209, 4211, 4213, 4215, 4220, 4300, 4305, 4306, 4350, 4390, 4500, 4503, 4504, 4505, 4509, 4551, 4560, 4655, 4680, 4701, 4702, 4703, 4740","$348,106,354 ","$348,106,354 ","21,559","11,737","5,622","2,565",54,"1,299",163,61,58, -   
SE241,Valentine's Day storms Victoria,13-Feb-24,14-Feb-24,FY23,,,"As of 12pm today, insurers had received 9,947 claims related to the storm, which saw around 530,000 homes left without power across VIC",Flood,2024,"3011, 3016, 3023, 3025, 3029, 3030, 3049, 3064, 3075, 3088, 3103, 3124, 3132, 3133, 3134, 3135, 3136, 3138, 3139, 3140, 3148, 3149, 3150, 3151, 3152, 3153, 3154, 3156, 3158, 3159, 3160, 3163, 3165, 3166, 3167, 3168, 3169, 3170, 3171, 3172, 3173, 3174, 3175, 3178, 3179, 3180, 3185, 3186, 3188, 3190, 3192, 3193, 3194, 3195, 3196, 3197, 3198, 3199, 3200, 3201, 3204, 3207, 3212, 3213, 3214, 3336, 3337, 3338, 3340, 3429, 3444, 3465, 3496, 3515, 3525, 3530, 3546, 3550, 3551, 3555, 3678, 3714, 3756, 3757, 3764, 3766, 3777, 3781, 3782, 3783, 3788, 3791, 3793, 3796, 3802, 3804, 3805, 3806, 3808, 3809, 3810, 3812, 3815, 3820, 3821, 3823, 3824, 3825, 3840, 3842, 3869, 3870, 3871, 3875, 3878, 3880, 3882, 3904, 3909, 3910, 3912, 3915, 3922, 3925, 3937, 3945, 3946, 3950, 3953, 3957, 3971, 3977, 3978, 3980, 3981, 3984, 3987, 3995","$237,254,005 ","$237,254,005 ","27,866","10,449","12,044","2,430",30,"2,066",649,161,37, -   
CAT233,Christmas Storms,23-Dec-23,3-Jan-24,FY23,,,"Queensland, New South Wales and Victoria impacted by severe storms between 23 December and Boxing Day",Flood,2023,"2015, 2018, 2019, 2020, 2035, 2036, 2099, 2100, 2126, 2153, 2154, 2155, 2156, 2158, 2234, 2250, 2251, 2257, 2258, 2259, 2261, 2265, 2280, 2283, 2285, 2287, 2289, 2290, 2291, 2305, 2311, 2312, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2327, 2330, 2340, 2360, 2415, 2422, 2423, 2425, 2428, 2430, 2441, 2444, 2446, 2447, 2450, 2452, 2456, 2460, 2474, 2480, 2484, 2485, 2486, 2487, 2528, 2529, 2530, 2533, 2536, 2537, 2539, 2540, 2546, 2550, 2560, 2570, 2580, 2582, 2583, 2587, 2602, 2620, 2622, 2650, 2705, 2722, 2727, 2731, 2747, 2750, 2756, 2775, 2777, 2780, 2791, 2795, 2798, 2799, 2800, 2810, 2830, 2850, 2899, 2902, 2911, 2912, 2913, 2914, 3023, 3029, 3030, 3037, 3038, 3064, 3076, 3088, 3089, 3095, 3337, 3340, 3350, 3356, 3357, 3429, 3444, 3461, 3518, 3523, 3550, 3551, 3555, 3556, 3561, 3564, 3579, 3616, 3620, 3621, 3629, 3630, 3631, 3666, 3677, 3678, 3730, 3754, 3818, 3844, 3850, 3851, 3885, 3966, 3971, 3977, 4012, 4017, 4019, 4020, 4034, 4053, 4055, 4060, 4061, 4064, 4066, 4067, 4068, 4069, 4070, 4073, 4074, 4075, 4077, 4078, 4105, 4109, 4110, 4113, 4114, 4115, 4116, 4118, 4119, 4121, 4122, 4123, 4124, 4125, 4127, 4128, 4129, 4130, 4131, 4132, 4133, 4151, 4152, 4153, 4154, 4157, 4158, 4159, 4160, 4161, 4163, 4164, 4165, 4170, 4171, 4172, 4173, 4178, 4179, 4184, 4207, 4208, 4209, 4210, 4211, 4212, 4213, 4214, 4215, 4216, 4217, 4218, 4220, 4221, 4223, 4224, 4225, 4226, 4227, 4228, 4270, 4272, 4275, 4280, 4285, 4287, 4300, 4301, 4305, 4306, 4311, 4340, 4341, 4342, 4343, 4347, 4350, 4352, 4356, 4358, 4362, 4370, 4401, 4405, 4421, 4470, 4500, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4520, 4521, 4550, 4551, 4553, 4556, 4557, 4558, 4560, 4561, 4565, 4567, 4570, 4573, 4575, 4650, 4655, 4660, 4670, 4671, 4677, 4680, 4700, 4701, 4702, 4703, 4715, 4717, 4720, 4740","$1,607,357,649 ","$1,607,357,649 ","106,481","46,060","33,896","18,617",646,"4,820","1,907",308,205,22
