Location ID,Location Name,Location Type,State Name,Disaster Name,Disaster AGRN,Payment Type Name,Date of Data,Eligible Claims (No.),Ineligible Claims (No.),Finalised Claims (No.),Cancelled Claims (No.),Withdrawn Claims (No.),Onhand Claims (No.),Incoming Claims (No.),Total Recieved Claims (No.),Applications Received (No.),Dollars Granted ($),Dollars Paid ($)
-1,Unknown,LGA,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,Disaster Recovery Allowance,2022-12-29,314,897,1211,1539,3181,<20,5931,5931,5931,"$1,340,191.33","$1,342,178.89"
-1,Unknown,LGA,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,Disaster Recovery Payment,2025-10-02,10086,25094,35180,12638,49292,<20,97110,97110,97110,"$10,964,600.00","$10,954,881.95"
-1,Unknown,LGA,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,New Zealand disaster recovery allowance,2025-10-16,<20,<20,27,<20,<20,<20,38,38,38,"$31,004.68","$31,004.68"
-1,Unknown,LGA,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,New Zealand Disaster recovery payment,2023-02-01,210,1696,1906,1096,3110,<20,6112,6112,6112,"$232,000.00","$231,000.00"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Australian Government Disaster Recovery Allowance Supplement,2023-08-21,,,8121,,,,,,<20,"$4,768,200.00","$4,758,995.78"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Australian Government Disaster Recovery Payment Supplement,2023-05-25,,,12613,,,,,,<20,"$13,643,950.00","$13,494,013.53"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Disaster Recovery Allowance,2023-06-01,617,1589,2206,3004,4138,<20,9348,9348,9348,"$2,520,943.38","$2,506,598.13"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Disaster Recovery Payment,2025-12-29,14430,48007,62437,17436,51837,<20,131710,131710,131710,"$15,676,749.86","$15,612,968.94"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand disaster recovery allowance,2025-10-17,23,32,55,113,<20,<20,168,168,168,"$92,095.43","$92,095.43"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand Disaster recovery payment,2023-08-21,208,1975,2183,1137,2846,<20,6166,6166,6166,"$228,800.00","$225,800.00"
-1,Unknown,LGA,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand Disaster Recovery Payment Supplement,2023-01-16,,,97,,,,,,<20,"$101,800.00","$100,400.00"
-1,Unknown,LGA,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,Disaster Recovery Allowance,2024-03-04,276,1266,1542,1673,1631,<20,4846,4846,4846,"$1,435,728.03","$1,425,892.60"
-1,Unknown,LGA,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,Disaster Recovery Payment,2025-05-26,10646,36396,47042,8992,35059,<20,91093,91093,91093,"$11,508,475.00","$11,461,856.19"
-1,Unknown,LGA,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,New Zealand disaster recovery allowance,2024-03-01,<20,23,25,<20,<20,<20,38,38,38,"<$20,000.00","<$20,000.00"
-1,Unknown,LGA,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,New Zealand Disaster recovery payment,2023-05-27,181,1430,1611,643,2319,<20,4573,4573,4573,"$200,800.00","$199,800.00"
-1,Unknown,LGA,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,Disaster Recovery Allowance,2023-08-11,165,1330,1495,2603,1053,<20,5151,5151,5151,"$633,357.90","$632,689.50"
-1,Unknown,LGA,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,Disaster Recovery Payment,2025-05-26,1427,30837,32264,8625,38738,<20,79627,79627,79627,"$1,701,200.00","$1,697,200.00"
-1,Unknown,LGA,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,New Zealand disaster recovery allowance,2023-11-24,<20,48,50,21,<20,<20,71,71,71,"<$20,000.00","<$20,000.00"
-1,Unknown,LGA,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,New Zealand Disaster recovery payment,2024-10-15,83,566,649,427,1223,<20,2299,2299,2299,"$91,600.00","$91,600.00"
-1,Unknown,LGA,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,Disaster Recovery Allowance,2025-03-31,192,322,514,832,454,<20,1800,1800,1800,"$772,897.17","$769,316.46"
