ica_cat,drfa_agrn,verdict,notes
CAT173,754,Confirmed,
Undeclared,469,Confirmed,
CAT152,656,Confirmed,
Undeclared,780,Confirmed,
Undeclared,628,Confirmed,
Undeclared,655,Confirmed,
CAT063,223,Confirmed,
Undeclared,432,Confirmed,
CAT213,965,Confirmed,
CAT072,267,Confirmed,
CAT183,800,Confirmed,
CAT086,311,Confirmed,
CAT091,317,Confirmed,
CAT102,383,Confirmed,
CAT113,423,Confirmed,
CAT116,431,Confirmed,
Undeclared,440,Confirmed,
Undeclared,555,Confirmed,
CAT141,600,Confirmed,
Undeclared,602,Confirmed,
Undeclared,608,Confirmed,
CAT142,624,Confirmed,
CAT144,640,Confirmed,
Undeclared,689,Confirmed,
CAT154,704,Confirmed,
Undeclared,732,Confirmed,
CAT174,783,Confirmed,
Undeclared,826,Confirmed,
Undeclared,911,Confirmed,
CAT204,937,Confirmed,
CAT211,950,Confirmed,
CAT216,984,Confirmed,
SE215,999,Confirmed,
SE251,1174,Confirmed,
SE254,1221,Confirmed,
CAT261,1242,Confirmed,
Undeclared,223,Confirmed,
CAT073,276,Confirmed,
CAT094,337,Confirmed,
Undeclared,418,Confirmed,
CAT133,542,Confirmed,
CAT135,588,Confirmed,
CAT156,682,Confirmed,
Undeclared,739,Confirmed,
Undeclared,740,Confirmed,
Undeclared,741,Confirmed,
CAT171,742,Confirmed,
CAT172,764,Confirmed,
Undeclared,784,Confirmed,
CAT191,840,Confirmed,
CAT216,983,Confirmed,
CAT221,1011,Confirmed,
CAT221,1012,Confirmed,
CAT252,1195,Confirmed,
CAT131,537,Confirmed,
CAT153,667,Confirmed,
Undeclared,709,Confirmed,
SE225,1042,Confirmed,
SE222,1042,Confirmed,
SE256,1240,Confirmed,
CAT096,365,Confirmed,
CAT112A,426,No Match,
CAT155,677,Confirmed,
CAT161,694,Confirmed,
CAT182,797,No Match,
CAT223,1037,Confirmed,
CAT255,1224,Confirmed,
